participant_id,synthetic,device,recruitment_source,cohort_site,age_years,wears_glasses,prior_eye_tracking,display_width_cm,low_light,accuracy_deg,rms_precision_deg,data_loss,valid_trial_share,sampling_rate_hz
SYN-W-0001,True,webcam,prolific,remote,53.715573,False,False,20.90439,False,1.255416,0.193681,0.123119,1.0,32.372761
SYN-W-0002,True,webcam,prolific,remote,18.0,True,False,43.64711,True,1.351645,0.579599,0.08448,0.966672,28.661677
SYN-W-0003,True,webcam,prolific,remote,36.44257,False,False,43.592741,False,1.106592,0.432839,0.073085,0.916738,28.764776
SYN-W-0004,True,webcam,prolific,remote,65.160276,True,False,34.77529,False,0.780441,0.411545,0.015556,0.956855,21.995193
SYN-W-0005,True,webcam,prolific,remote,44.870558,False,False,25.32997,False,1.2685,0.501508,0.078987,0.965325,29.519637
SYN-W-0006,True,webcam,prolific,remote,47.322597,False,False,42.324215,False,0.724211,0.417175,0.111117,0.988634,27.44171
SYN-W-0007,True,webcam,prolific,remote,38.513561,True,False,20.0,False,1.173858,0.493201,0.102299,0.938515,32.979263
SYN-W-0008,True,webcam,prolific,remote,53.41394,False,False,38.365081,True,1.173585,0.509806,0.150896,0.901339,26.129718
SYN-W-0009,True,webcam,prolific,remote,36.891586,True,False,25.957077,True,1.422897,0.606184,0.016209,0.993463,32.013632
SYN-W-0010,True,webcam,prolific,remote,40.796733,True,False,28.265994,False,1.070548,0.246728,0.127221,0.939036,29.749496
SYN-W-0011,True,webcam,prolific,remote,53.881604,True,False,23.395235,False,1.237304,0.31879,0.073219,0.964433,33.715563
SYN-W-0012,True,webcam,prolific,remote,56.700114,True,False,40.154915,False,1.238011,0.333961,0.099195,0.929331,32.470231
SYN-W-0013,True,webcam,prolific,remote,52.572696,False,True,35.564059,False,0.932528,0.493559,0.034344,0.987791,28.796414
SYN-W-0014,True,webcam,prolific,remote,30.60419,True,True,44.765928,False,0.666865,0.525719,0.117139,0.959464,27.789644
SYN-W-0015,True,webcam,prolific,remote,53.397442,False,False,20.0,False,1.195407,0.286623,0.158731,0.923091,30.639427
SYN-W-0016,True,webcam,prolific,remote,42.246359,False,False,35.384507,True,1.044772,0.569677,0.078241,0.937115,27.221893
SYN-W-0017,True,webcam,prolific,remote,67.235526,True,False,34.143869,False,1.630304,0.533011,0.098913,0.979208,30.104686
SYN-W-0018,True,webcam,prolific,remote,33.793897,False,False,37.423818,True,1.144592,0.365442,0.167695,1.0,27.27273
SYN-W-0019,True,webcam,prolific,remote,57.529978,True,False,48.388223,False,1.160723,0.246358,0.060909,0.943398,27.463957
SYN-W-0020,True,webcam,prolific,remote,51.734991,False,False,40.132018,True,0.460786,0.355883,0.076542,0.921394,29.187069
SYN-W-0021,True,webcam,prolific,remote,43.818018,True,False,42.17033,False,1.471749,0.467854,0.102998,0.894276,28.805761
SYN-W-0022,True,webcam,prolific,remote,66.472624,False,False,27.618614,False,1.365554,0.384657,0.03806,0.949293,30.23453
SYN-W-0023,True,webcam,prolific,remote,24.003219,False,False,34.67238,False,0.788682,0.6208,0.035511,0.930795,32.894051
SYN-W-0024,True,webcam,prolific,remote,37.383227,False,False,30.688718,True,0.887308,0.34119,0.020264,0.935608,29.764876
SYN-W-0025,True,webcam,prolific,remote,57.494977,True,False,38.224713,False,1.216065,0.542161,0.074494,0.945445,32.0156
SYN-W-0026,True,webcam,prolific,remote,38.350933,True,False,40.583738,False,0.620145,0.535039,0.014575,0.910096,27.65189
SYN-W-0027,True,webcam,prolific,remote,45.301765,False,False,35.552949,False,0.901298,0.230038,0.107976,0.939767,29.317036
SYN-W-0028,True,webcam,prolific,remote,55.619501,True,True,31.903963,False,1.283879,0.623161,0.128522,0.941912,29.447453
SYN-W-0029,True,webcam,prolific,remote,49.827355,True,False,28.579175,False,0.973757,0.576557,0.0,0.885628,28.195937
SYN-W-0030,True,webcam,prolific,remote,49.399926,True,False,29.744548,False,1.130831,0.3338,0.128671,0.916805,27.798589
SYN-W-0031,True,webcam,prolific,remote,31.522167,False,False,31.073871,False,0.939411,0.340195,0.00091,0.911888,27.717445
SYN-W-0032,True,webcam,prolific,remote,34.281673,False,False,40.531937,True,1.478181,0.588884,0.09811,0.958896,30.11721
SYN-W-0033,True,webcam,prolific,remote,33.39248,False,False,32.24862,True,0.567541,0.500881,0.076146,0.930551,33.394281
SYN-W-0034,True,webcam,prolific,remote,38.806023,False,False,28.45714,False,0.892598,0.851414,0.173932,0.957354,29.57037
SYN-W-0035,True,webcam,prolific,remote,53.91026,False,False,21.515995,False,1.430481,0.489209,0.086346,0.898684,28.744145
SYN-W-0036,True,webcam,prolific,remote,25.600217,False,False,35.718199,False,0.687224,0.427549,0.132141,0.932596,26.605815
SYN-W-0037,True,webcam,prolific,remote,74.945633,False,False,36.207155,False,0.914604,0.127004,0.093576,0.923275,28.5914
SYN-W-0038,True,webcam,prolific,remote,18.086802,False,True,23.974843,False,0.636637,0.488657,0.203451,0.919639,23.777451
SYN-W-0039,True,webcam,prolific,remote,51.06987,True,False,32.685608,False,1.392031,0.496216,0.037267,0.933782,27.806195
SYN-W-0040,True,webcam,prolific,remote,66.050614,True,False,31.398387,False,1.022707,0.385878,0.069332,0.964575,33.216091
SYN-W-0041,True,webcam,prolific,remote,46.976282,False,False,32.14377,False,0.821024,0.608224,0.107578,0.936928,28.731021
SYN-W-0042,True,webcam,prolific,remote,37.141888,False,False,28.728279,True,1.211819,0.412007,0.105029,0.956299,31.968487
SYN-W-0043,True,webcam,prolific,remote,40.682492,False,False,34.870506,True,1.133486,0.793687,0.106891,0.882847,25.92041
SYN-W-0044,True,webcam,prolific,remote,50.393417,False,False,41.673967,False,1.403258,0.679082,0.074162,0.92507,28.411651
SYN-W-0045,True,webcam,prolific,remote,30.650443,True,False,42.265545,False,1.131564,0.606689,0.041411,0.926737,28.00364
SYN-W-0046,True,webcam,prolific,remote,35.01457,False,False,29.192544,False,1.207235,0.500599,0.084297,0.984791,27.347476
SYN-W-0047,True,webcam,prolific,remote,26.496807,False,False,38.344503,False,0.695032,0.58393,0.100803,0.965721,31.960943
SYN-W-0048,True,webcam,prolific,remote,68.650554,True,True,43.63583,False,1.01685,0.613405,0.072329,0.940699,30.272505
SYN-W-0049,True,webcam,prolific,remote,50.011364,False,False,30.026102,False,1.06431,0.661778,0.050426,0.932658,31.257489
SYN-W-0050,True,webcam,prolific,remote,18.0,True,False,25.35997,False,1.084438,0.474871,0.105249,0.903018,33.18917
SYN-W-0051,True,webcam,prolific,remote,18.0,False,False,44.915716,False,1.15368,0.503502,0.03672,0.94719,28.195527
SYN-W-0052,True,webcam,prolific,remote,46.552226,True,False,34.242766,False,1.629082,0.329999,0.078431,0.914397,33.764508
SYN-W-0053,True,webcam,prolific,remote,44.561813,False,False,20.0,False,1.078147,0.34009,0.058075,0.976255,29.80681
SYN-W-0054,True,webcam,prolific,remote,43.467013,True,False,34.12058,True,0.704975,0.522635,0.172156,0.900109,24.027763
SYN-W-0055,True,webcam,prolific,remote,32.03626,False,False,35.213649,False,1.291131,0.623733,0.148567,0.930785,27.132458
SYN-W-0056,True,webcam,prolific,remote,25.796739,False,False,34.255925,False,0.999903,0.265206,0.140232,0.971976,26.839577
SYN-W-0057,True,webcam,prolific,remote,57.519117,True,False,33.838917,False,0.665823,0.328254,0.03723,1.0,29.309521
SYN-W-0058,True,webcam,prolific,remote,30.906178,False,True,32.911139,False,1.565592,0.602907,0.117246,0.916331,31.50151
SYN-W-0059,True,webcam,prolific,remote,30.602627,False,False,27.965363,False,1.666884,0.612202,0.13123,0.907492,32.005434
SYN-W-0060,True,webcam,prolific,remote,34.425814,False,False,40.688874,False,1.520343,0.685801,0.117509,0.9165,28.664838
SYN-W-0061,True,webcam,prolific,remote,46.025344,False,False,22.846215,False,0.801334,0.652047,0.099834,0.931933,34.718978
SYN-W-0062,True,webcam,prolific,remote,40.663014,True,False,32.060606,True,1.366322,0.430979,0.083601,0.864375,29.541987
SYN-W-0063,True,webcam,prolific,remote,51.81424,True,False,30.445185,False,1.249189,0.435867,0.067771,0.926954,26.843685
SYN-W-0064,True,webcam,prolific,remote,45.824956,False,False,27.177404,False,1.220113,0.31085,0.044737,0.940515,26.118665
SYN-W-0065,True,webcam,prolific,remote,33.17733,False,False,46.033134,False,0.77595,0.493841,0.096559,0.900632,30.62258
SYN-W-0066,True,webcam,prolific,remote,34.661981,False,False,45.480923,False,0.970793,0.448578,0.121311,0.931985,27.271419
SYN-W-0067,True,webcam,prolific,remote,52.651182,False,False,29.127457,False,1.404853,0.388162,0.096985,0.995052,29.865472
SYN-W-0068,True,webcam,prolific,remote,37.067413,True,False,39.555895,False,1.224064,0.637814,0.13342,0.885183,25.701528
SYN-W-0069,True,webcam,prolific,remote,32.171964,True,False,35.277852,True,1.222291,0.325925,0.063331,0.933235,28.493751
SYN-W-0070,True,webcam,prolific,remote,43.791004,False,False,23.199612,False,1.248172,0.61376,0.05981,0.908866,27.344067
SYN-W-0071,True,webcam,prolific,remote,38.081861,False,False,35.081068,False,1.059468,0.436911,0.025718,1.0,28.622334
SYN-W-0072,True,webcam,prolific,remote,48.7359,False,False,46.034786,False,1.285994,0.527372,0.076779,0.934598,31.044172
SYN-W-0073,True,webcam,prolific,remote,49.2014,True,False,42.448073,False,0.583074,0.44203,0.053775,0.904915,29.429774
SYN-W-0074,True,webcam,prolific,remote,40.957309,True,False,25.883458,True,1.628982,0.620122,0.119435,0.973911,31.257123
SYN-W-0075,True,webcam,prolific,remote,59.834196,False,False,28.519457,False,1.062031,0.527397,0.066899,0.932472,30.250686
SYN-W-0076,True,webcam,prolific,remote,31.362402,False,False,36.194921,False,1.288474,0.429603,0.076543,0.923653,28.918154
SYN-W-0077,True,webcam,prolific,remote,68.336134,True,True,32.328445,True,0.957994,0.636996,0.072329,0.92388,28.837038
SYN-W-0078,True,webcam,prolific,remote,57.26734,False,False,26.594374,True,1.19261,0.554494,0.127818,0.949535,34.921881
SYN-W-0079,True,webcam,prolific,remote,18.0,False,False,36.875041,False,1.283825,0.446689,0.112676,0.950011,30.212862
SYN-W-0080,True,webcam,prolific,remote,29.356254,True,False,35.808658,False,0.930235,0.481812,0.139364,0.990959,32.024715
SYN-W-0081,True,webcam,prolific,remote,39.195929,True,False,30.876173,False,1.015847,0.574797,0.11181,0.903133,28.277131
SYN-W-0082,True,webcam,prolific,remote,39.259086,True,False,37.637322,False,1.462148,0.295536,0.194008,0.854764,29.218642
SYN-W-0083,True,webcam,prolific,remote,58.048609,False,False,39.933929,False,1.25375,0.591951,0.044781,0.906316,32.650343
SYN-W-0084,True,webcam,prolific,remote,38.40399,False,False,32.238062,False,0.926992,0.56859,0.076213,0.863331,30.790555
SYN-W-0085,True,webcam,prolific,remote,44.72346,True,False,43.737144,True,1.170067,0.445522,0.105207,0.936214,29.396869
SYN-W-0086,True,webcam,prolific,remote,33.291131,True,False,30.394584,False,1.28473,0.670838,0.032628,0.98779,28.089491
SYN-W-0087,True,webcam,prolific,remote,48.670046,False,False,33.137646,False,0.76519,0.49532,0.106735,0.921519,29.150403
SYN-W-0088,True,webcam,prolific,remote,48.729297,False,False,30.486668,False,1.110182,0.402326,0.08429,0.863528,25.587515
SYN-W-0089,True,webcam,prolific,remote,40.716992,False,False,40.668941,False,1.363536,0.496072,0.0,1.0,26.147358
SYN-W-0090,True,webcam,prolific,remote,67.445155,True,False,28.795746,True,1.253253,0.578881,0.102437,0.984597,28.630126
SYN-W-0091,True,webcam,prolific,remote,33.5517,True,True,41.405771,False,1.78094,0.451761,0.087726,0.953416,33.509101
SYN-W-0092,True,webcam,prolific,remote,26.73269,False,False,39.467567,False,0.82652,0.667185,0.134656,0.916475,29.436249
SYN-W-0093,True,webcam,prolific,remote,49.421441,True,False,29.219478,False,1.127329,0.637045,0.016336,0.928599,31.909221
SYN-W-0094,True,webcam,prolific,remote,60.157697,False,False,29.200003,False,1.412667,0.538116,0.028991,0.952963,29.760426
SYN-W-0095,True,webcam,prolific,remote,37.525204,False,False,31.779671,False,1.758168,0.317495,0.029804,0.932844,28.963361
SYN-W-0096,True,webcam,prolific,remote,53.663556,False,False,33.142955,True,1.167945,0.645938,0.158873,0.916943,32.366018
SYN-W-0097,True,webcam,prolific,remote,19.702148,False,False,43.605491,False,0.792876,0.47399,0.0,0.964658,30.208086
SYN-W-0098,True,webcam,prolific,remote,33.991581,False,False,28.175468,False,1.249902,0.502946,0.109722,0.904387,26.633029
SYN-W-0099,True,webcam,prolific,remote,35.404867,False,False,22.497008,False,0.855899,0.666111,0.088783,0.944296,27.368168
SYN-W-0100,True,webcam,prolific,remote,20.097503,True,False,20.261399,False,1.766389,0.247642,0.061346,0.919944,31.955295
SYN-W-0101,True,webcam,prolific,remote,28.250809,False,False,20.0,False,1.054111,0.728583,0.107348,0.887705,31.862836
SYN-W-0102,True,webcam,prolific,remote,22.663636,False,False,37.519833,False,1.447857,0.629382,0.12889,0.91835,29.525776
SYN-W-0103,True,webcam,prolific,remote,48.658085,True,False,27.248348,False,1.254602,0.258986,0.064974,0.983656,33.425558
SYN-W-0104,True,webcam,prolific,remote,40.543564,False,False,33.641375,True,1.20008,0.686547,0.091107,0.974436,29.080138
SYN-W-0105,True,webcam,prolific,remote,41.069166,False,False,39.990523,False,1.459648,0.322651,0.000494,0.953018,28.657165
SYN-W-0106,True,webcam,prolific,remote,42.929668,False,False,46.784751,False,1.24196,0.527187,0.133467,0.950807,30.30055
SYN-W-0107,True,webcam,prolific,remote,34.212223,False,False,26.57501,False,0.985155,0.39606,0.110258,0.931938,29.246408
SYN-W-0108,True,webcam,prolific,remote,47.371597,True,False,32.550352,True,0.801898,0.922973,0.098411,0.94024,30.914722
SYN-W-0109,True,webcam,prolific,remote,41.382639,False,False,20.0,False,1.678667,0.454036,0.06639,0.890115,28.706361
SYN-W-0110,True,webcam,prolific,remote,33.147204,False,False,50.311132,False,0.932601,0.697524,0.018749,0.992953,32.720361
SYN-W-0111,True,webcam,prolific,remote,34.676924,False,True,37.639641,False,0.89242,0.38061,0.172098,0.930265,34.372318
SYN-W-0112,True,webcam,prolific,remote,18.0,True,False,30.818525,False,0.951253,0.492051,0.054675,0.973669,28.898305
SYN-W-0113,True,webcam,prolific,remote,43.185961,False,True,37.886861,False,0.5699,0.669854,0.0,0.9503,28.372695
SYN-W-0114,True,webcam,prolific,remote,45.815186,True,False,36.136759,False,1.349483,0.557314,0.03999,0.943614,30.188145
SYN-W-0115,True,webcam,prolific,remote,36.537639,True,False,37.522964,False,0.952948,0.4856,0.153994,0.927263,26.975122
SYN-W-0116,True,webcam,prolific,remote,61.440287,False,False,35.000537,False,1.41569,0.479537,0.138404,0.909349,31.760741
SYN-W-0117,True,webcam,prolific,remote,48.431244,False,False,29.5444,False,1.493192,0.727995,0.121966,0.942039,27.263841
SYN-W-0118,True,webcam,prolific,remote,48.731264,False,False,33.288117,False,1.510755,0.56231,0.130559,0.96752,29.604413
SYN-W-0119,True,webcam,prolific,remote,46.92066,False,False,29.20619,False,1.050444,0.704393,0.145762,0.935543,26.842668
SYN-W-0120,True,webcam,prolific,remote,29.727706,True,False,20.0,False,1.599728,0.357959,0.143614,0.946339,27.29178
SYN-W-0121,True,webcam,prolific,remote,25.690226,False,False,30.067742,False,0.295886,0.687255,0.0,0.983421,27.625338
SYN-W-0122,True,webcam,prolific,remote,47.618501,True,False,42.030205,True,1.623313,0.66669,0.147157,0.980523,26.858199
SYN-W-0123,True,webcam,prolific,remote,64.79667,False,False,30.567848,False,0.977585,0.669664,0.080771,0.950896,31.794089
SYN-W-0124,True,webcam,prolific,remote,18.0,False,False,38.108136,False,1.27112,0.230487,0.066991,0.951545,32.692492
SYN-W-0125,True,webcam,prolific,remote,44.677501,False,False,35.146205,False,0.846045,0.702805,0.067617,0.949657,26.699905
SYN-W-0126,True,webcam,prolific,remote,39.16213,False,False,45.942813,True,1.004053,0.51043,0.033868,0.896554,30.563278
SYN-W-0127,True,webcam,prolific,remote,37.994152,False,True,23.524703,False,1.013024,0.399852,0.104878,0.934693,27.995452
SYN-W-0128,True,webcam,prolific,remote,24.138678,False,False,36.268908,False,1.073805,0.188869,0.123321,0.953527,30.103069
SYN-W-0129,True,webcam,prolific,remote,32.631227,True,False,56.493986,False,1.162863,0.531448,0.068183,0.957846,28.156875
SYN-W-0130,True,webcam,prolific,remote,37.221484,False,False,31.343343,False,1.510824,0.510572,0.083914,0.94041,24.055051
