variable,device,n,mean_or_proportion,sd,summary_type
age_years,professional,500,45.864788432000005,12.997897675677418,mean_sd
age_years,webcam,500,43.393144506,12.756563604380721,mean_sd
wears_glasses,professional,500,0.4,,proportion
wears_glasses,webcam,500,0.366,,proportion
prior_eye_tracking,professional,500,0.132,,proportion
prior_eye_tracking,webcam,500,0.088,,proportion
display_width_cm,professional,500,51.924575434,2.4872853455578556,mean_sd
display_width_cm,webcam,500,33.807808703999996,6.896420549608215,mean_sd
low_light,professional,500,0.034,,proportion
low_light,webcam,500,0.16,,proportion
accuracy_deg,professional,500,0.6443135,0.159551932522101,mean_sd
accuracy_deg,webcam,500,1.1406389300000002,0.29080291589065976,mean_sd
rms_precision_deg,professional,500,0.26798869999999997,0.08243529548776002,mean_sd
rms_precision_deg,webcam,500,0.504677002,0.14620166119550984,mean_sd
data_loss,professional,500,0.041221006,0.018723140852665226,mean_sd
data_loss,webcam,500,0.093388538,0.04793809144322492,mean_sd
valid_trial_share,professional,500,0.977513596,0.013964447916046807,mean_sd
valid_trial_share,webcam,500,0.939087034,0.032845371020156666,mean_sd
sampling_rate_hz,professional,500,119.795834622,3.6707313285870757,mean_sd
sampling_rate_hz,webcam,500,29.872641122,2.615290725138817,mean_sd
