participant_id,device,accuracy_deg,rms_precision_deg,data_loss,valid_trial_share,sampling_rate_hz
SYN-W-0001,webcam,1.255416,0.193681,0.123119,1.0,32.372761
SYN-W-0002,webcam,1.351645,0.579599,0.08448,0.966672,28.661677
SYN-W-0003,webcam,1.106592,0.432839,0.073085,0.916738,28.764776
SYN-W-0004,webcam,0.780441,0.411545,0.015556,0.956855,21.995193
SYN-W-0005,webcam,1.2685,0.501508,0.078987,0.965325,29.519637
SYN-W-0006,webcam,0.724211,0.417175,0.111117,0.988634,27.44171
SYN-W-0007,webcam,1.173858,0.493201,0.102299,0.938515,32.979263
SYN-W-0008,webcam,1.173585,0.509806,0.150896,0.901339,26.129718
SYN-W-0009,webcam,1.422897,0.606184,0.016209,0.993463,32.013632
SYN-W-0010,webcam,1.070548,0.246728,0.127221,0.939036,29.749496
SYN-W-0011,webcam,1.237304,0.31879,0.073219,0.964433,33.715563
SYN-W-0012,webcam,1.238011,0.333961,0.099195,0.929331,32.470231
SYN-W-0013,webcam,0.932528,0.493559,0.034344,0.987791,28.796414
SYN-W-0014,webcam,0.666865,0.525719,0.117139,0.959464,27.789644
SYN-W-0015,webcam,1.195407,0.286623,0.158731,0.923091,30.639427
SYN-W-0016,webcam,1.044772,0.569677,0.078241,0.937115,27.221893
SYN-W-0017,webcam,1.630304,0.533011,0.098913,0.979208,30.104686
SYN-W-0018,webcam,1.144592,0.365442,0.167695,1.0,27.27273
SYN-W-0019,webcam,1.160723,0.246358,0.060909,0.943398,27.463957
SYN-W-0020,webcam,0.460786,0.355883,0.076542,0.921394,29.187069
SYN-W-0021,webcam,1.471749,0.467854,0.102998,0.894276,28.805761
SYN-W-0022,webcam,1.365554,0.384657,0.03806,0.949293,30.23453
SYN-W-0023,webcam,0.788682,0.6208,0.035511,0.930795,32.894051
SYN-W-0024,webcam,0.887308,0.34119,0.020264,0.935608,29.764876
SYN-W-0025,webcam,1.216065,0.542161,0.074494,0.945445,32.0156
SYN-W-0026,webcam,0.620145,0.535039,0.014575,0.910096,27.65189
SYN-W-0027,webcam,0.901298,0.230038,0.107976,0.939767,29.317036
SYN-W-0028,webcam,1.283879,0.623161,0.128522,0.941912,29.447453
