comparison_unit_id,scenario,stimulus_id,device,aoi_name,sample_count,dwell_share
SYN-P001,near_equivalent,SYN-FACE-01,professional,left_eye,81,0.2288135593220339
SYN-P001,near_equivalent,SYN-FACE-01,professional,mouth,52,0.14689265536723164
SYN-P001,near_equivalent,SYN-FACE-01,professional,nose,31,0.08757062146892655
SYN-P001,near_equivalent,SYN-FACE-01,professional,other,143,0.403954802259887
SYN-P001,near_equivalent,SYN-FACE-01,professional,right_eye,47,0.1327683615819209
SYN-P001,near_equivalent,SYN-FACE-01,webcam,left_eye,21,0.23595505617977527
SYN-P001,near_equivalent,SYN-FACE-01,webcam,mouth,14,0.15730337078651685
SYN-P001,near_equivalent,SYN-FACE-01,webcam,nose,10,0.11235955056179775
SYN-P001,near_equivalent,SYN-FACE-01,webcam,other,33,0.3707865168539326
SYN-P001,near_equivalent,SYN-FACE-01,webcam,right_eye,11,0.12359550561797752
SYN-P001,near_equivalent,SYN-FACE-02,professional,left_eye,89,0.25
SYN-P001,near_equivalent,SYN-FACE-02,professional,mouth,37,0.10393258426966293
SYN-P001,near_equivalent,SYN-FACE-02,professional,nose,124,0.34831460674157305
SYN-P001,near_equivalent,SYN-FACE-02,professional,other,102,0.28651685393258425
SYN-P001,near_equivalent,SYN-FACE-02,professional,right_eye,4,0.011235955056179775
SYN-P001,near_equivalent,SYN-FACE-02,webcam,left_eye,21,0.23595505617977527
SYN-P001,near_equivalent,SYN-FACE-02,webcam,mouth,8,0.0898876404494382
SYN-P001,near_equivalent,SYN-FACE-02,webcam,nose,27,0.30337078651685395
SYN-P001,near_equivalent,SYN-FACE-02,webcam,other,31,0.34831460674157305
SYN-P001,near_equivalent,SYN-FACE-02,webcam,right_eye,2,0.02247191011235955
SYN-P001,near_equivalent,SYN-FACE-03,professional,left_eye,86,0.24089635854341737
SYN-P001,near_equivalent,SYN-FACE-03,professional,mouth,37,0.10364145658263306
SYN-P001,near_equivalent,SYN-FACE-03,professional,nose,134,0.3753501400560224
SYN-P001,near_equivalent,SYN-FACE-03,professional,other,100,0.2801120448179272
SYN-P001,near_equivalent,SYN-FACE-03,professional,right_eye,0,0.0
SYN-P001,near_equivalent,SYN-FACE-03,webcam,left_eye,20,0.22988505747126436
SYN-P001,near_equivalent,SYN-FACE-03,webcam,mouth,9,0.10344827586206896
SYN-P001,near_equivalent,SYN-FACE-03,webcam,nose,32,0.367816091954023
SYN-P001,near_equivalent,SYN-FACE-03,webcam,other,26,0.2988505747126437
SYN-P001,near_equivalent,SYN-FACE-03,webcam,right_eye,0,0.0
SYN-P002,near_equivalent,SYN-FACE-01,professional,left_eye,77,0.21690140845070421
SYN-P002,near_equivalent,SYN-FACE-01,professional,mouth,31,0.08732394366197183
SYN-P002,near_equivalent,SYN-FACE-01,professional,nose,27,0.07605633802816901
SYN-P002,near_equivalent,SYN-FACE-01,professional,other,167,0.4704225352112676
SYN-P002,near_equivalent,SYN-FACE-01,professional,right_eye,53,0.14929577464788732
SYN-P002,near_equivalent,SYN-FACE-01,webcam,left_eye,18,0.20689655172413793
SYN-P002,near_equivalent,SYN-FACE-01,webcam,mouth,7,0.08045977011494253
SYN-P002,near_equivalent,SYN-FACE-01,webcam,nose,7,0.08045977011494253
SYN-P002,near_equivalent,SYN-FACE-01,webcam,other,41,0.47126436781609193
SYN-P002,near_equivalent,SYN-FACE-01,webcam,right_eye,14,0.16091954022988506
SYN-P002,near_equivalent,SYN-FACE-02,professional,left_eye,87,0.24645892351274787
SYN-P002,near_equivalent,SYN-FACE-02,professional,mouth,35,0.09915014164305949
SYN-P002,near_equivalent,SYN-FACE-02,professional,nose,92,0.26062322946175637
SYN-P002,near_equivalent,SYN-FACE-02,professional,other,127,0.3597733711048159
SYN-P002,near_equivalent,SYN-FACE-02,professional,right_eye,12,0.0339943342776204
SYN-P002,near_equivalent,SYN-FACE-02,webcam,left_eye,20,0.22988505747126436
SYN-P002,near_equivalent,SYN-FACE-02,webcam,mouth,10,0.11494252873563218
SYN-P002,near_equivalent,SYN-FACE-02,webcam,nose,23,0.26436781609195403
SYN-P002,near_equivalent,SYN-FACE-02,webcam,other,30,0.3448275862068966
SYN-P002,near_equivalent,SYN-FACE-02,webcam,right_eye,4,0.04597701149425287
SYN-P002,near_equivalent,SYN-FACE-03,professional,left_eye,84,0.23728813559322035
SYN-P002,near_equivalent,SYN-FACE-03,professional,mouth,27,0.07627118644067797
SYN-P002,near_equivalent,SYN-FACE-03,professional,nose,143,0.403954802259887
SYN-P002,near_equivalent,SYN-FACE-03,professional,other,100,0.2824858757062147
SYN-P002,near_equivalent,SYN-FACE-03,professional,right_eye,0,0.0
SYN-P002,near_equivalent,SYN-FACE-03,webcam,left_eye,20,0.23255813953488372
SYN-P002,near_equivalent,SYN-FACE-03,webcam,mouth,5,0.05813953488372093
SYN-P002,near_equivalent,SYN-FACE-03,webcam,nose,35,0.4069767441860465
SYN-P002,near_equivalent,SYN-FACE-03,webcam,other,26,0.3023255813953488
SYN-P002,near_equivalent,SYN-FACE-03,webcam,right_eye,0,0.0
SYN-P003,near_equivalent,SYN-FACE-01,professional,left_eye,72,0.20224719101123595
SYN-P003,near_equivalent,SYN-FACE-01,professional,mouth,6,0.016853932584269662
SYN-P003,near_equivalent,SYN-FACE-01,professional,nose,29,0.08146067415730338
SYN-P003,near_equivalent,SYN-FACE-01,professional,other,189,0.5308988764044944
SYN-P003,near_equivalent,SYN-FACE-01,professional,right_eye,60,0.16853932584269662
SYN-P003,near_equivalent,SYN-FACE-01,webcam,left_eye,19,0.21348314606741572
SYN-P003,near_equivalent,SYN-FACE-01,webcam,mouth,0,0.0
SYN-P003,near_equivalent,SYN-FACE-01,webcam,nose,8,0.0898876404494382
SYN-P003,near_equivalent,SYN-FACE-01,webcam,other,47,0.5280898876404494
SYN-P003,near_equivalent,SYN-FACE-01,webcam,right_eye,15,0.16853932584269662
SYN-P003,near_equivalent,SYN-FACE-02,professional,left_eye,81,0.22946175637393768
SYN-P003,near_equivalent,SYN-FACE-02,professional,mouth,10,0.028328611898016998
SYN-P003,near_equivalent,SYN-FACE-02,professional,nose,65,0.18413597733711048
SYN-P003,near_equivalent,SYN-FACE-02,professional,other,165,0.46742209631728043
SYN-P003,near_equivalent,SYN-FACE-02,professional,right_eye,32,0.0906515580736544
SYN-P003,near_equivalent,SYN-FACE-02,webcam,left_eye,21,0.23595505617977527
SYN-P003,near_equivalent,SYN-FACE-02,webcam,mouth,4,0.0449438202247191
SYN-P003,near_equivalent,SYN-FACE-02,webcam,nose,17,0.19101123595505617
SYN-P003,near_equivalent,SYN-FACE-02,webcam,other,38,0.42696629213483145
SYN-P003,near_equivalent,SYN-FACE-02,webcam,right_eye,9,0.10112359550561797
SYN-P003,near_equivalent,SYN-FACE-03,professional,left_eye,85,0.24147727272727273
SYN-P003,near_equivalent,SYN-FACE-03,professional,mouth,13,0.036931818181818184
SYN-P003,near_equivalent,SYN-FACE-03,professional,nose,119,0.3380681818181818
SYN-P003,near_equivalent,SYN-FACE-03,professional,other,135,0.3835227272727273
SYN-P003,near_equivalent,SYN-FACE-03,professional,right_eye,0,0.0
