comparison_unit_id,scenario,device,reference_role,accuracy_deg,rms_precision_deg,data_loss,effective_sampling_rate_hz,interval_cv,n_samples,n_valid
SYN-P001,near_equivalent,professional,reference_instrument,0.27656733728114147,0.4477137810392376,0.006172839506172867,119.99999998513933,5.661216870808337e-08,324,322
SYN-P001,near_equivalent,webcam,candidate,0.4580229380502297,0.6590364058597182,0.024691358024691357,29.99999999625,1.4185708944219235e-08,81,79
SYN-P002,near_equivalent,professional,reference_instrument,0.2913026435898993,0.45782010439593546,0.0092592592592593,119.99999998513933,5.661216870808337e-08,324,321
SYN-P002,near_equivalent,webcam,candidate,0.5173008794802956,0.7952955277000342,0.012345679012345734,29.99999999625,1.4185708944219235e-08,81,80
SYN-P003,near_equivalent,professional,reference_instrument,0.262297466712306,0.4231298105498342,0.01851851851851849,119.99999998513933,5.661216870808337e-08,324,318
SYN-P003,near_equivalent,webcam,candidate,0.47058895802362255,0.7511955722585419,0.0,29.99999999625,1.4185708944219235e-08,81,81
SYN-P004,systematic_bias,professional,reference_instrument,0.27892475214079643,0.45133043968612463,0.012345679012345734,119.99999998513933,5.661216870808337e-08,324,320
SYN-P004,systematic_bias,webcam,candidate,2.8300533814134883,1.2443897754578135,0.04938271604938271,29.99999999625,1.4185708944219235e-08,81,77
SYN-P005,systematic_bias,professional,reference_instrument,0.30667806156538935,0.48685615889081507,0.024691358024691357,119.99999998513933,5.661216870808337e-08,324,316
SYN-P005,systematic_bias,webcam,candidate,2.9363459574346407,1.4024195158347257,0.06172839506172845,29.99999999625,1.4185708944219235e-08,81,76
SYN-P006,systematic_bias,professional,reference_instrument,0.27073597814050115,0.4314132674842,0.01851851851851849,119.99999998513933,5.661216870808337e-08,324,318
SYN-P006,systematic_bias,webcam,candidate,2.8943334859374996,1.449903650478973,0.11111111111111116,29.99999999625,1.4185708944219235e-08,81,72
SYN-P007,temporal_lag,professional,reference_instrument,0.27868459653088334,0.4401643958341676,0.015432098765432056,119.99999998513933,5.661216870808337e-08,324,319
SYN-P007,temporal_lag,webcam,candidate,0.7935853430523915,1.3281751390210697,0.0864197530864198,29.99999999625,1.4185708944219235e-08,81,74
SYN-P008,temporal_lag,professional,reference_instrument,0.29170772853587196,0.47624207275164004,0.006172839506172867,119.99999998513933,5.661216870808337e-08,324,322
SYN-P008,temporal_lag,webcam,candidate,0.9581898417057673,1.4419962368311046,0.0864197530864198,29.99999999625,1.4185708944219235e-08,81,74
SYN-P009,temporal_lag,professional,reference_instrument,0.27880373940466857,0.46086607696671805,0.012345679012345734,119.99999998513933,5.661216870808337e-08,324,320
SYN-P009,temporal_lag,webcam,candidate,0.7673666537406232,1.3275705750138393,0.024691358024691357,29.99999999625,1.4185708944219235e-08,81,79
SYN-P010,high_dropout,professional,reference_instrument,0.27755356367420336,0.45657577286140394,0.01851851851851849,119.99999998513933,5.661216870808337e-08,324,318
SYN-P010,high_dropout,webcam,candidate,1.0465924466300338,1.6932358664006293,0.2716049382716049,29.99999999625,1.4185708944219235e-08,81,59
SYN-P011,high_dropout,professional,reference_instrument,0.30746013949261514,0.5022503846464024,0.015432098765432056,119.99999998513933,5.661216870808337e-08,324,319
SYN-P011,high_dropout,webcam,candidate,1.0881115587499155,1.741148684055797,0.3580246913580247,29.99999999625,1.4185708944219235e-08,81,52
SYN-P012,high_dropout,professional,reference_instrument,0.27255416138092137,0.44556216527924036,0.012345679012345734,119.99999998513933,5.661216870808337e-08,324,320
SYN-P012,high_dropout,webcam,candidate,1.0401118571313572,1.5914397168585255,0.2962962962962963,29.99999999625,1.4185708944219235e-08,81,57
