comparison_unit_id,scenario,stimulus_id,map_correlation,histogram_intersection,jensen_shannon_distance,hotspot_dice,centroid_distance_norm,center_bias_webcam_cc,center_bias_professional_cc
SYN-P001,near_equivalent,SYN-FACE-01,0.9910073202124369,0.9335151802391999,0.0841029132625565,0.8813559322033898,0.00040898348946758373,0.5019886218227834,0.4998619519286991
SYN-P001,near_equivalent,SYN-FACE-02,0.9861824100253985,0.9224355178769557,0.0962513002410347,0.8522727272727273,0.005247484530062446,0.571148749677887,0.565366367157663
SYN-P001,near_equivalent,SYN-FACE-03,0.9899721760541823,0.9377826206613452,0.07092591705148987,0.88,0.003861061072197542,0.5706864334499265,0.5701693007912223
SYN-P002,near_equivalent,SYN-FACE-01,0.9934653400519109,0.9403941759950257,0.07069997376455517,0.8977272727272727,0.0038761862958415568,0.4896383618505424,0.47735047321552554
SYN-P002,near_equivalent,SYN-FACE-02,0.9902269585493866,0.9364323110295473,0.07426177924958051,0.9371428571428572,0.0074092187994517405,0.533622569519268,0.5521034707973422
SYN-P002,near_equivalent,SYN-FACE-03,0.9913102012357226,0.9403929548754584,0.06727490275318218,0.8757396449704142,0.0049674821130543095,0.5525940509088462,0.5651842506433714
SYN-P003,near_equivalent,SYN-FACE-01,0.9938956164795119,0.9426488637570061,0.07038516168517474,0.9540229885057471,0.005254626975934291,0.4703483366380066,0.463086570524008
SYN-P003,near_equivalent,SYN-FACE-02,0.9854201194759632,0.9298879765989057,0.08742867398513074,0.9152542372881356,0.004292638194553237,0.5281898887864351,0.5235052146732243
SYN-P003,near_equivalent,SYN-FACE-03,0.9860572733412653,0.928057691576075,0.08511263971818633,0.8690476190476191,0.005927150722596282,0.567049162956422,0.5652677362923999
SYN-P004,systematic_bias,SYN-FACE-01,0.5496225249592401,0.505857084400172,0.5226599741600437,0.391304347826087,0.0741568325318864,0.43167752566405515,0.4554575838156368
SYN-P004,systematic_bias,SYN-FACE-02,0.5594888587568074,0.5056788314487728,0.5369483796966973,0.27956989247311825,0.07151649157149785,0.4845685267823487,0.5238686884368087
SYN-P004,systematic_bias,SYN-FACE-03,0.5626162561940953,0.5081080135651757,0.5284620651232653,0.26285714285714284,0.07029561002095205,0.5219509360894065,0.5697829469081811
SYN-P005,systematic_bias,SYN-FACE-01,0.5292904912117357,0.4877787171451121,0.5355277175776085,0.3567567567567568,0.07309578528011965,0.4178594408847556,0.47302844790375137
SYN-P005,systematic_bias,SYN-FACE-02,0.5679421167347858,0.4943571855577366,0.5296587531916322,0.27225130890052357,0.07658789829583414,0.4968567349318819,0.5197816681827938
SYN-P005,systematic_bias,SYN-FACE-03,0.6176416105114362,0.5705114011535052,0.4821505374952581,0.3240223463687151,0.07064387616303908,0.5317412829867482,0.5881842969711357
SYN-P006,systematic_bias,SYN-FACE-01,0.5552022468415285,0.5153596621535642,0.5078710302907031,0.3157894736842105,0.07013165204121552,0.4514010116225729,0.49599965685728453
SYN-P006,systematic_bias,SYN-FACE-02,0.5724465779722914,0.5230976948329416,0.5094377159680673,0.32653061224489793,0.06996108301941364,0.47329079042703737,0.5248966642236518
SYN-P006,systematic_bias,SYN-FACE-03,0.6081569037904871,0.5612847312153442,0.49255765391756307,0.25136612021857924,0.07396643603097411,0.5838931112282587,0.6075434423185246
SYN-P007,temporal_lag,SYN-FACE-01,0.9622875880254402,0.8789835872771136,0.1290019063336059,0.8210526315789474,0.017494092768844435,0.5190210128007007,0.5090128326247021
SYN-P007,temporal_lag,SYN-FACE-02,0.9365333325003304,0.8562394051558353,0.16976055887672464,0.7878787878787878,0.011573581770079984,0.48261311964073117,0.5325722757229695
SYN-P007,temporal_lag,SYN-FACE-03,0.907125418558141,0.8239126753907455,0.21945759219740404,0.7076923076923077,0.023301943579325992,0.5138662416625362,0.6375452225947642
SYN-P008,temporal_lag,SYN-FACE-01,0.9519012454057826,0.8566621031412067,0.16734188373167594,0.8167539267015707,0.007265192291016633,0.5467510833202246,0.5253851950401107
SYN-P008,temporal_lag,SYN-FACE-02,0.9225056458338194,0.8412177988314932,0.18690046839123498,0.7346938775510204,0.003231399033999992,0.5069433140946357,0.5267295211648136
SYN-P008,temporal_lag,SYN-FACE-03,0.9158837998051151,0.8374897653667674,0.20499392933258803,0.7309644670050761,0.012602697456074567,0.5146119037234671,0.6383901597670302
