name	mean	std	eyes	mouth	secs	config
base_asym	0.5766	0.0090	0.291	0.862	67	{"feat": "asym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "dropout": 0.2, "weight_decay": 0.05, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3}
regasym	0.5994	0.0021	0.310	0.889	92	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "dropout": 0.2, "weight_decay": 0.05, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3}
regasym_cap128	0.6127	0.0105	0.337	0.888	105	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "dropout": 0.2, "weight_decay": 0.05, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "temporal_hidden": 128, "temporal_out": 96}
regasym_cap192	0.6165	0.0117	0.345	0.888	91	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "dropout": 0.2, "weight_decay": 0.05, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "temporal_hidden": 192, "temporal_out": 128}
regasym_tl2	0.6048	0.0104	0.320	0.889	81	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "dropout": 0.2, "weight_decay": 0.05, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 2}
regasym_do3	0.6052	0.0029	0.318	0.893	88	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "dropout": 0.3, "weight_decay": 0.05, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3}
regasym_lweyes	0.6033	0.0036	0.318	0.889	80	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "dropout": 0.2, "weight_decay": 0.05, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "lw_eyes": 0.5}
regasym_expected	0.5936	0.0027	0.332	0.855	91	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "dropout": 0.2, "weight_decay": 0.05, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "decode": "expected"}
cap256	0.6259	0.0097	0.361	0.891	104	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "dropout": 0.2, "weight_decay": 0.05, "temporal_hidden": 256, "temporal_out": 192}
cap384	0.6522	0.0098	0.401	0.904	114	{"feat": "regasym", "geo_encoder": "mlp", "loss": "corn", "ls": 0.1, "per_region_geo": true, "pr_marlin": {"eyes": 128, "mouth": 768, "binary": 256}, "drop_marlin": true, "trunk_layers": 3, "dropout": 0.2, "weight_decay": 0.05, "temporal_hidden": 384, "temporal_out": 256}
