iter	metric	metric_sd	eyes	mouth	status	description
0	0.5301	0.0082	0.293	0.767	baseline	v0 dual-stream BiGRU-attention + CORAL, faithful v2 reimpl
1	0.5491	0.0225	0.311	0.787	logged	r1_default
2	0.5824	0.0177	0.372	0.793	logged	r1_asym
3	0.5461	0.0078	0.311	0.781	logged	r1_mlp
4	0.5221	0.0035	0.262	0.782	logged	r1_cw
5	0.5800	0.0141	0.352	0.808	logged	r1_asym_mlp
6	0.5502	0.0179	0.316	0.784	logged	r1_asym_cw
7	0.5178	0.0122	0.285	0.751	logged	r1_mlp_cw
8	0.5694	0.0049	0.380	0.759	logged	r1_asym_mlp_cw
9	0.5697	0.0107	0.357	0.783	logged	r2_gate
10	0.5968	0.0167	0.497	0.697	logged	r2_mproj128
11	0.5897	0.0147	0.372	0.807	logged	r2_trunk2_160
12	0.5898	0.0119	0.395	0.784	logged	r2_ls10
13	0.5898	0.0159	0.360	0.819	logged	r2_corn
14	0.5857	0.0064	0.381	0.790	logged	r2_eyesw
15	0.5815	0.0091	0.348	0.815	logged	r2_reg
16	0.5154	0.0045	0.304	0.727	logged	r2_expected
17	0.5932	0.0103	0.456	0.731	logged	r3_mproj64
18	0.5744	0.0184	0.467	0.682	logged	r3_mproj96
19	0.5732	0.0214	0.464	0.682	logged	r3_mproj192
20	0.5806	0.0235	0.474	0.688	logged	r3_mproj256
21	0.6104	0.0092	0.501	0.720	logged	r3_mp128_corn
22	0.6044	0.0285	0.465	0.743	logged	r3_mp128_ls
23	0.5708	0.0153	0.465	0.677	logged	r3_mp128_mouthw
24	0.5700	0.0045	0.466	0.674	logged	r3_mp128_eyeswdown
25	0.5967	0.0062	0.471	0.722	logged	r3_mp128_ls_corn
26	0.5666	0.0102	0.443	0.691	logged	r3_mp128_trunk2
27	0.5867	0.0188	0.467	0.707	logged	r3_mp128_reg
28	0.6010	0.0060	0.476	0.726	logged	r3_mp96_ls
29	0.5768	0.0271	0.341	0.813	logged	r4_ln_corn
30	0.5714	0.0133	0.342	0.801	logged	r4_ln
31	0.5849	0.0021	0.469	0.701	logged	r4_prt_mp128_corn
32	0.6252	0.0086	0.439	0.812	logged	r4_prt_ln_corn
33	0.5629	0.0168	0.316	0.810	logged	r4_ln_corn_t160
34	0.5785	0.0143	0.362	0.795	logged	r4_ln_ls_corn
35	0.5794	0.0088	0.340	0.819	logged	r4_ln_corn_reg
36	0.5700	0.0199	0.459	0.682	logged	r4_mp192_corn
