name	metric	eyes	mouth	n_train	secs	config
baseline	0.5432	0.297	0.789	3266	123	{}
data_v2recipe	0.5876	0.380	0.795	1869	88	{"sources": ["palsy", "fnp", "yfp"], "tasks": ["binary", "eyes", "mouth"]}
data_no_coarse3	0.566	0.317	0.815	2526	113	{"sources": ["palsy", "fnp", "yfp", "kaggle"], "tasks": ["binary", "eyes", "mouth"]}
data_region_only	0.6089	0.349	0.869	1830	41	{"sources": ["fnp", "yfp"], "tasks": ["eyes", "mouth"]}
data_add_anisa_only	0.5668	0.323	0.811	2609	115	{"sources": ["palsy", "fnp", "yfp", "anisa"], "tasks": ["binary", "coarse3", "eyes", "mouth"]}
pool_mean	0.553	0.291	0.815	3266	132	{"temporal_pool": "mean"}
pool_max	0.5321	0.279	0.785	3266	134	{"temporal_pool": "max"}
reweight_proj128_ln	0.5922	0.373	0.812	3266	135	{"marlin_proj_dim": 128, "stream_layernorm": true}
trunk192	0.554	0.315	0.793	3266	136	{"trunk_hidden": 192}
temporal128	0.5529	0.304	0.802	3266	134	{"temporal_hidden": 128, "temporal_out": 128}
dropout03	0.4078	0.036	0.779	3266	136	{"dropout": 0.3}
lr1e-3	0.573	0.347	0.799	3266	130	{"lr": 0.001}
lr3e-4	0.4736	0.173	0.774	3266	131	{"lr": 0.0003}
wd1e-1	0.5359	0.285	0.787	3266	135	{"weight_decay": 0.1}
lw_region_up	0.5874	0.338	0.837	3266	132	{"loss_weights": {"binary": 0.3, "coarse3": 0.3, "eyes": 1.0, "mouth": 1.0}}
action_pool_attn	0.5788	0.366	0.791	3266	132	{"action_pool": "attention"}
r_only_s0	0.6089	0.349	0.869	1830	35	{"sources": ["fnp", "yfp"], "tasks": ["eyes", "mouth"]}
r_only_s1	0.5853	0.322	0.849	1830	37	{"sources": ["fnp", "yfp"], "tasks": ["eyes", "mouth"], "seed": 1}
r_only_s2	0.5679	0.309	0.827	1830	37	{"sources": ["fnp", "yfp"], "tasks": ["eyes", "mouth"], "seed": 2}
r_reweight_s0	0.6188	0.365	0.873	1830	39	{"sources": ["fnp", "yfp"], "tasks": ["eyes", "mouth"], "marlin_proj_dim": 128, "stream_layernorm": true}
r_reweight_s1	0.5867	0.380	0.793	1830	41	{"sources": ["fnp", "yfp"], "tasks": ["eyes", "mouth"], "marlin_proj_dim": 128, "stream_layernorm": true, "seed": 1}
r_reweight_s2	0.5711	0.311	0.831	1830	40	{"sources": ["fnp", "yfp"], "tasks": ["eyes", "mouth"], "marlin_proj_dim": 128, "stream_layernorm": true, "seed": 2}
